wl,n
8.76,8.12
8.88,8.29
9.00,8.48
9.13,8.66
9.26,8.86
9.39,9.06
9.53,9.27
9.67,9.48
9.82,9.70
9.97,9.93
10.13,10.16
10.29,10.40
10.45,10.65
10.63,10.91
10.80,11.17
10.99,11.45
11.17,11.73
11.37,12.02
11.57,12.33
11.78,12.64
12.00,12.96
12.23,13.30
12.46,13.64
12.71,14.00
12.96,14.37
13.23,14.75
13.50,15.14
13.79,15.55
14.09,15.97
14.40,16.40
14.73,16.85
15.07,17.32
15.43,17.80
15.81,18.29
16.20,18.81
16.62,19.34
17.06,19.88
17.52,20.45
18.00,21.03
18.52,21.63
19.06,22.25
19.64,22.88
20.25,23.54
20.91,24.21
21.60,24.91
22.35,25.62
23.15,26.35
24.00,27.10
24.93,27.87
,
wl,k
0.30,1.83
0.31,1.84
0.32,1.83
0.33,1.80
0.34,1.78
0.35,1.77
0.36,1.78
0.37,1.80
0.38,1.83
0.39,1.86
0.40,1.87
0.41,1.86
0.42,1.85
0.43,1.84
0.44,1.83
0.45,1.82
0.46,1.77
0.47,1.72
0.48,1.68
0.49,1.68
0.50,1.75
0.51,1.86
0.52,2.01
0.53,2.16
0.54,2.30
0.55,2.43
0.56,2.56
0.57,2.69
0.58,2.80
0.59,2.92
0.60,3.03
0.61,3.13
0.62,3.24
0.63,3.34
0.64,3.44
0.65,3.54
0.66,3.63
0.67,3.73
0.68,3.82
0.69,3.91
0.70,4.00
0.71,4.09
0.72,4.18
0.73,4.27
0.74,4.35
0.75,4.44
0.76,4.53
0.77,4.61
0.78,4.69
0.79,4.78
0.80,4.86
0.81,4.94
0.82,5.02
0.83,5.10
0.84,5.19
0.85,5.27
0.86,5.35
0.87,5.42
0.88,5.50
0.89,5.58
0.90,5.66
0.91,5.74
0.92,5.82
0.93,5.89
0.94,5.97
0.95,6.05
0.96,6.12
0.97,6.20
0.98,6.28
0.99,6.35
1.00,6.43
1.01,6.50
1.02,6.58
1.03,6.65
1.04,6.73
1.05,6.80
1.06,6.88
1.07,6.95
1.08,7.03
1.09,7.10
1.10,7.18
1.11,7.25
1.12,7.32
1.13,7.40
1.14,7.47
1.15,7.54
1.16,7.62
1.17,7.69
1.18,7.76
1.19,7.84
1.20,7.91
1.21,7.98
1.22,8.05
1.23,8.13
1.24,8.20
1.25,8.27
1.26,8.34
1.27,8.41
1.28,8.49
1.29,8.56
1.30,8.63
1.31,8.70
1.32,8.77
1.33,8.85
1.34,8.92
1.35,8.99
1.43,9.56
1.44,9.63
1.45,9.70
1.46,9.76
1.47,9.83
1.48,9.89
1.49,9.95
1.50,10.01
1.51,10.08
1.52,10.14
1.53,10.20
1.54,10.27
1.55,10.33
1.56,10.39
1.57,10.45
1.58,10.51
1.59,10.57
1.60,10.64
1.61,10.70
1.62,10.76
1.63,10.82
1.64,10.88
1.65,10.94
1.66,11.00
1.67,11.06
1.68,11.12
1.69,11.18
1.70,11.24
1.71,11.30
1.72,11.36
1.73,11.42
1.74,11.48
1.75,11.53
1.76,11.59
1.77,11.65
1.78,11.71
1.79,11.77
1.80,11.83
1.81,11.88
1.82,11.94
1.83,12.00
1.84,12.06
1.85,12.11
1.86,12.17
1.87,12.23
1.88,12.29
1.89,12.34
1.90,12.40
1.91,12.46
1.92,12.51
1.93,12.57
1.94,12.62
1.95,12.68
1.96,12.74
1.97,12.79
1.98,12.85
1.99,12.90
2.00,12.95
2.01,13.00
2.02,13.08
2.03,13.13
2.04,13.21
2.05,13.25
2.06,13.34
2.06,13.38
2.08,13.47
2.08,13.51
2.10,13.60
2.10,13.64
2.12,13.73
2.13,13.78
2.14,13.87
2.15,13.92
2.15,13.96
2.17,14.06
2.18,14.10
2.19,14.20
2.20,14.25
2.21,14.30
2.22,14.40
2.23,14.45
2.24,14.50
2.24,14.55
2.26,14.65
2.27,14.70
2.27,14.75
2.28,14.80
2.30,14.91
2.31,14.96
2.32,15.02
2.32,15.07
2.34,15.18
2.35,15.24
2.36,15.29
2.37,15.35
2.37,15.40
2.38,15.46
2.39,15.52
2.41,15.63
2.42,15.69
2.43,15.75
2.44,15.81
2.45,15.87
2.46,15.93
2.46,15.99
2.47,16.05
2.48,16.11
2.49,16.17
2.50,16.24
2.51,16.30
2.52,16.36
2.53,16.43
2.54,16.49
2.55,16.56
2.56,16.62
2.57,16.69
2.58,16.75
2.59,16.82
2.60,16.89
2.61,16.96
2.62,17.03
2.64,17.09
2.65,17.16
2.66,17.23
2.67,17.30
2.68,17.38
2.69,17.45
2.70,17.52
2.71,17.59
2.72,17.67
2.74,17.74
2.75,17.82
2.76,17.89
2.77,17.97
2.78,18.04
2.79,18.12
2.81,18.20
2.82,18.28
2.83,18.36
2.84,18.44
2.86,18.52
2.87,18.60
2.88,18.68
2.89,18.76
2.91,18.85
2.92,18.93
2.93,19.02
2.95,19.10
2.96,19.19
2.97,19.27
2.99,19.36
3.00,19.45
3.02,19.54
3.03,19.63
3.04,19.72
3.06,19.81
3.07,19.91
3.09,20.00
3.10,20.10
3.12,20.19
3.13,20.29
3.15,20.38
3.16,20.48
3.18,20.58
3.19,20.68
3.21,20.78
3.22,20.88
3.24,20.99
